# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  39 0.457317 141.021 298.89
  40 0.469512 139.116 298.476
  41 0.481707 139.375 298.653
  42 0.493902 140.713 298.482
  43 0.506098 130.228 296.855
  44 0.518293 132.13 296.15
  45 0.530488 138.353 295.479
  46 0.542683 131.862 293.821
  47 0.554878 124.763 294.162
  48 0.567073 128.906 294.724
  49 0.579268 135.822 293.868
  50 0.591463 128.143 293.211
  51 0.603659 133.897 293.02
  52 0.615854 126.58 292.921
  53 0.628049 133.852 292.197
  54 0.640244 130.183 290.872
  55 0.652439 124.523 289.037
  56 0.664634 135.607 288.849
  57 0.676829 138.22 288.954
  58 0.689024 145.432 288.868
  59 0.70122 139.893 288.107
  60 0.713415 131.216 286.436
  61 0.72561 142.188 285.862
  62 0.737805 134.792 284.298
  63 0.75 133.65 284.265
  64 0.762195 131.503 282.702
  65 0.77439 125.172 282.147
  66 0.786585 130.248 280.951
  67 0.79878 141.694 280.628
  68 0.810976 151.748 280.359
  69 0.823171 136.034 280.6
  70 0.835366 125.93 279.234
  71 0.847561 132.319 279.106
  72 0.859756 142.329 278.286
  73 0.871951 142.624 278.21
  74 0.884146 121.822 278.19
  75 0.896341 128.928 278.292
  76 0.908537 141.305 73.5073
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
20000000 84 10944.000000000002
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 3.30741e-05
  8 0.0792683 130.057 0.141998
  9 0.0914634 130.549 108.101
  10 0.103659 134.803 317.864
  11 0.115854 127.258 317.898
  12 0.128049 146.853 317.826
  13 0.140244 148.218 318.08
  14 0.152439 128.022 317.269
  15 0.164634 134.221 316.59
  16 0.176829 125.901 316.336
  17 0.189024 146.302 317.081
  18 0.20122 131.924 315.99
  19 0.213415 127.373 314.676
  20 0.22561 119.702 315.436
  21 0.237805 133.137 314.288
  22 0.25 127.106 313.101
  23 0.262195 133.992 312.077
  24 0.27439 122.83 310.849
  25 0.286585 135.343 309.233
  26 0.29878 137.107 308.644
  27 0.310976 131.567 308.159
  28 0.323171 128.558 306.786
  29 0.335366 136.624 306.295
  30 0.347561 159.024 306.28
  31 0.359756 142.366 305.462
  32 0.371951 127.462 305.423
  33 0.384146 132.522 305.042
  34 0.396341 139.624 304.484
  35 0.408537 125.531 303.636
  36 0.420732 118.728 302.701
  37 0.432927 132.877 301.084
  38 0.445122 127.248 301.012
  39 0.457317 141.388 299.432
  40 0.469512 141.842 298.22
  41 0.481707 138.65 297.582
  42 0.493902 141.966 297.568
  43 0.506098 128.078 297.161
  44 0.518293 134.496 296.094
  45 0.530488 136.068 294.799
  46 0.542683 136.834 294.511
  47 0.554878 123.758 294.045
  48 0.567073 123.121 293.697
  49 0.579268 129.815 292.818
  50 0.591463 132.443 292.143
  51 0.603659 130.037 292.229
  52 0.615854 128.957 291.698
  53 0.628049 129.151 289.952
  54 0.640244 127.082 289.04
  55 0.652439 121.282 288.682
  56 0.664634 134.104 289.405
  57 0.676829 139.021 289.702
  58 0.689024 143.284 289.239
  59 0.70122 139.623 288.586
  60 0.713415 130.705 287.871
  61 0.72561 143.257 286.571
  62 0.737805 135.11 285.831
  63 0.75 140.785 284.333
  64 0.762195 128.826 283.393
  65 0.77439 125.546 282.165
  66 0.786585 131.647 281.289
  67 0.79878 140 280.405
  68 0.810976 148.586 280.667
  69 0.823171 134.158 280.902
  70 0.835366 126.561 279.961
  71 0.847561 135.193 278.407
  72 0.859756 142.871 278.131
  73 0.871951 143.597 278.273
  74 0.884146 123.022 278.32
  75 0.896341 129.198 278.402
  76 0.908537 141.111 73.2644
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
